Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Norrköping;86360;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1961-01-01 00:00:00;1964-04-30 23:59:59;3.0;58.606;16.2127

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1961-01-01 00:00:01;1961-01-02 00:00:00;1961-01-01;-0.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1961-01-02 00:00:01;1961-01-03 00:00:00;1961-01-02;0.1;Y;;Tidsperiod (fr.o.m.) = 1961-01-01 00:00:00 (UTC)
1961-01-03 00:00:01;1961-01-04 00:00:00;1961-01-03;1.6;Y;;Tidsperiod (t.o.m.) = 1964-04-30 23:59:59 (UTC)
1961-01-04 00:00:01;1961-01-05 00:00:00;1961-01-04;0.6;Y;;Medelvärdet är beräknat för = 24 timmar
1961-01-05 00:00:01;1961-01-06 00:00:00;1961-01-05;1.0;Y;;
1961-01-06 00:00:01;1961-01-07 00:00:00;1961-01-06;0.3;Y;;Kvalitetskoderna:
1961-01-07 00:00:01;1961-01-08 00:00:00;1961-01-07;-0.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1961-01-08 00:00:01;1961-01-09 00:00:00;1961-01-08;-1.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1961-01-09 00:00:01;1961-01-10 00:00:00;1961-01-09;-3.8;Y;;
1961-01-10 00:00:01;1961-01-11 00:00:00;1961-01-10;0.8;Y;;Orsaker till saknade data:
1961-01-11 00:00:01;1961-01-12 00:00:00;1961-01-11;-2.5;Y;;  stationen eller givaren har varit ur funktion.
1961-01-12 00:00:01;1961-01-13 00:00:00;1961-01-12;-6.4;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1961-01-13 00:00:01;1961-01-14 00:00:00;1961-01-13;1.2;Y
1961-01-14 00:00:01;1961-01-15 00:00:00;1961-01-14;0.9;Y
1961-01-15 00:00:01;1961-01-16 00:00:00;1961-01-15;1.7;Y
1961-01-16 00:00:01;1961-01-17 00:00:00;1961-01-16;-0.3;Y
1961-01-17 00:00:01;1961-01-18 00:00:00;1961-01-17;-2.0;Y
1961-01-18 00:00:01;1961-01-19 00:00:00;1961-01-18;-1.8;Y
1961-01-19 00:00:01;1961-01-20 00:00:00;1961-01-19;-6.4;Y
1961-01-20 00:00:01;1961-01-21 00:00:00;1961-01-20;-8.9;Y
1961-01-21 00:00:01;1961-01-22 00:00:00;1961-01-21;-5.3;Y
1961-01-22 00:00:01;1961-01-23 00:00:00;1961-01-22;-5.7;Y
1961-01-23 00:00:01;1961-01-24 00:00:00;1961-01-23;-5.0;Y
1961-01-24 00:00:01;1961-01-25 00:00:00;1961-01-24;-6.4;Y
1961-01-25 00:00:01;1961-01-26 00:00:00;1961-01-25;-10.7;Y
1961-01-26 00:00:01;1961-01-27 00:00:00;1961-01-26;-8.1;Y
1961-01-27 00:00:01;1961-01-28 00:00:00;1961-01-27;-4.3;Y
1961-01-28 00:00:01;1961-01-29 00:00:00;1961-01-28;0.4;Y
1961-01-29 00:00:01;1961-01-30 00:00:00;1961-01-29;2.0;Y
1961-01-30 00:00:01;1961-01-31 00:00:00;1961-01-30;4.6;Y
1961-01-31 00:00:01;1961-02-01 00:00:00;1961-01-31;3.6;Y
1961-02-01 00:00:01;1961-02-02 00:00:00;1961-02-01;3.0;Y
1961-02-02 00:00:01;1961-02-03 00:00:00;1961-02-02;0.8;Y
1961-02-03 00:00:01;1961-02-04 00:00:00;1961-02-03;-0.9;Y
