Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Kalmar;66640;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1961-01-01 00:00:00;1963-06-01 23:59:59;7.0;56.67;16.35

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1961-01-01 00:00:01;1961-01-02 00:00:00;1961-01-01;1.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1961-01-02 00:00:01;1961-01-03 00:00:00;1961-01-02;2.9;Y;;Tidsperiod (fr.o.m.) = 1961-01-01 00:00:00 (UTC)
1961-01-03 00:00:01;1961-01-04 00:00:00;1961-01-03;2.6;Y;;Tidsperiod (t.o.m.) = 1963-06-01 23:59:59 (UTC)
1961-01-04 00:00:01;1961-01-05 00:00:00;1961-01-04;2.8;Y;;Medelvärdet är beräknat för = 24 timmar
1961-01-05 00:00:01;1961-01-06 00:00:00;1961-01-05;1.4;Y;;
1961-01-06 00:00:01;1961-01-07 00:00:00;1961-01-06;1.8;Y;;Kvalitetskoderna:
1961-01-07 00:00:01;1961-01-08 00:00:00;1961-01-07;3.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1961-01-08 00:00:01;1961-01-09 00:00:00;1961-01-08;0.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1961-01-09 00:00:01;1961-01-10 00:00:00;1961-01-09;1.3;Y;;
1961-01-10 00:00:01;1961-01-11 00:00:00;1961-01-10;3.1;Y;;Orsaker till saknade data:
1961-01-11 00:00:01;1961-01-12 00:00:00;1961-01-11;-0.2;Y;;  stationen eller givaren har varit ur funktion.
1961-01-12 00:00:01;1961-01-13 00:00:00;1961-01-12;-3.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1961-01-13 00:00:01;1961-01-14 00:00:00;1961-01-13;2.2;Y
1961-01-14 00:00:01;1961-01-15 00:00:00;1961-01-14;1.9;Y
1961-01-15 00:00:01;1961-01-16 00:00:00;1961-01-15;1.6;Y
1961-01-16 00:00:01;1961-01-17 00:00:00;1961-01-16;1.2;Y
1961-01-17 00:00:01;1961-01-18 00:00:00;1961-01-17;-0.9;Y
1961-01-18 00:00:01;1961-01-19 00:00:00;1961-01-18;-1.8;Y
1961-01-19 00:00:01;1961-01-20 00:00:00;1961-01-19;-2.5;Y
1961-01-20 00:00:01;1961-01-21 00:00:00;1961-01-20;0.1;Y
1961-01-21 00:00:01;1961-01-22 00:00:00;1961-01-21;-4.4;Y
1961-01-22 00:00:01;1961-01-23 00:00:00;1961-01-22;-4.7;Y
1961-01-23 00:00:01;1961-01-24 00:00:00;1961-01-23;-2.0;Y
1961-01-24 00:00:01;1961-01-25 00:00:00;1961-01-24;-4.2;Y
1961-01-25 00:00:01;1961-01-26 00:00:00;1961-01-25;-6.7;Y
1961-01-26 00:00:01;1961-01-27 00:00:00;1961-01-26;-7.9;Y
1961-01-27 00:00:01;1961-01-28 00:00:00;1961-01-27;-4.7;Y
1961-01-28 00:00:01;1961-01-29 00:00:00;1961-01-28;-0.2;Y
1961-01-29 00:00:01;1961-01-30 00:00:00;1961-01-29;1.9;Y
1961-01-30 00:00:01;1961-01-31 00:00:00;1961-01-30;4.4;Y
1961-01-31 00:00:01;1961-02-01 00:00:00;1961-01-31;2.7;Y
1961-03-01 00:00:01;1961-03-02 00:00:00;1961-03-01;5.8;Y
1961-03-02 00:00:01;1961-03-03 00:00:00;1961-03-02;4.9;Y
1961-03-03 00:00:01;1961-03-04 00:00:00;1961-03-03;3.8;Y
1961-03-04 00:00:01;1961-03-05 00:00:00;1961-03-04;5.7;Y
1961-03-05 00:00:01;1961-03-06 00:00:00;1961-03-05;6.6;Y
1961-03-06 00:00:01;1961-03-07 00:00:00;1961-03-06;7.5;Y
1961-03-07 00:00:01;1961-03-08 00:00:00;1961-03-07;9.3;Y
1961-03-08 00:00:01;1961-03-09 00:00:00;1961-03-08;6.5;Y
1961-03-09 00:00:01;1961-03-10 00:00:00;1961-03-09;11.5;Y
1961-03-10 00:00:01;1961-03-11 00:00:00;1961-03-10;8.1;Y
1961-03-11 00:00:01;1961-03-12 00:00:00;1961-03-11;7.5;Y
1961-03-12 00:00:01;1961-03-13 00:00:00;1961-03-12;7.3;Y
1961-03-13 00:00:01;1961-03-14 00:00:00;1961-03-13;4.7;Y
1961-03-14 00:00:01;1961-03-15 00:00:00;1961-03-14;5.9;Y
1961-03-15 00:00:01;1961-03-16 00:00:00;1961-03-15;7.9;Y
1961-03-16 00:00:01;1961-03-17 00:00:00;1961-03-16;9.9;Y
1961-03-17 00:00:01;1961-03-18 00:00:00;1961-03-17;8.3;Y
1961-03-18 00:00:01;1961-03-19 00:00:00;1961-03-18;6.7;Y
1961-03-19 00:00:01;1961-03-20 00:00:00;1961-03-19;-0.7;Y
1961-03-20 00:00:01;1961-03-21 00:00:00;1961-03-20;1.0;Y
1961-03-21 00:00:01;1961-03-22 00:00:00;1961-03-21;0.6;Y
1961-03-22 00:00:01;1961-03-23 00:00:00;1961-03-22;-0.9;Y
1961-03-23 00:00:01;1961-03-24 00:00:00;1961-03-23;6.1;Y
1961-03-24 00:00:01;1961-03-25 00:00:00;1961-03-24;9.0;Y
1961-03-25 00:00:01;1961-03-26 00:00:00;1961-03-25;7.8;Y
1961-03-26 00:00:01;1961-03-27 00:00:00;1961-03-26;7.1;Y
1961-03-27 00:00:01;1961-03-28 00:00:00;1961-03-27;4.4;Y
1961-03-28 00:00:01;1961-03-29 00:00:00;1961-03-28;3.5;Y
1961-03-29 00:00:01;1961-03-30 00:00:00;1961-03-29;2.1;Y
1961-03-30 00:00:01;1961-03-31 00:00:00;1961-03-30;3.2;Y
1961-03-31 00:00:01;1961-04-01 00:00:00;1961-03-31;1.4;Y
1961-04-01 00:00:01;1961-04-02 00:00:00;1961-04-01;0.4;Y
1961-04-02 00:00:01;1961-04-03 00:00:00;1961-04-02;2.1;Y
1961-04-03 00:00:01;1961-04-04 00:00:00;1961-04-03;0.5;Y
1961-04-04 00:00:01;1961-04-05 00:00:00;1961-04-04;1.0;Y
1961-04-05 00:00:01;1961-04-06 00:00:00;1961-04-05;1.3;Y
1961-04-06 00:00:01;1961-04-07 00:00:00;1961-04-06;8.5;Y
1961-04-07 00:00:01;1961-04-08 00:00:00;1961-04-07;9.8;Y
1961-04-08 00:00:01;1961-04-09 00:00:00;1961-04-08;5.8;Y
1961-04-09 00:00:01;1961-04-10 00:00:00;1961-04-09;4.2;Y
1961-04-10 00:00:01;1961-04-11 00:00:00;1961-04-10;2.9;Y
1961-04-11 00:00:01;1961-04-12 00:00:00;1961-04-11;4.3;Y
1961-04-12 00:00:01;1961-04-13 00:00:00;1961-04-12;5.3;Y
1961-04-13 00:00:01;1961-04-14 00:00:00;1961-04-13;6.9;Y
