Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Falkenberg;62520;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1998-12-01 00:00:00;2003-07-01 23:59:59;5.0;56.8994;12.4798

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1998-12-01 00:00:01;1998-12-02 00:00:00;1998-12-01;0.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1998-12-02 00:00:01;1998-12-03 00:00:00;1998-12-02;-1.2;Y;;Tidsperiod (fr.o.m.) = 1998-12-01 00:00:00 (UTC)
1998-12-03 00:00:01;1998-12-04 00:00:00;1998-12-03;-0.5;Y;;Tidsperiod (t.o.m.) = 2003-07-01 23:59:59 (UTC)
1998-12-04 00:00:01;1998-12-05 00:00:00;1998-12-04;-0.5;Y;;Medelvärdet är beräknat för = 24 timmar
1998-12-05 00:00:01;1998-12-06 00:00:00;1998-12-05;-2.6;Y;;
1998-12-06 00:00:01;1998-12-07 00:00:00;1998-12-06;-2.9;Y;;Kvalitetskoderna:
1998-12-07 00:00:01;1998-12-08 00:00:00;1998-12-07;-5.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1998-12-08 00:00:01;1998-12-09 00:00:00;1998-12-08;-9.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1998-12-09 00:00:01;1998-12-10 00:00:00;1998-12-09;-8.6;Y;;
1998-12-10 00:00:01;1998-12-11 00:00:00;1998-12-10;-8.7;Y;;Orsaker till saknade data:
1998-12-11 00:00:01;1998-12-12 00:00:00;1998-12-11;-3.2;Y;;  stationen eller givaren har varit ur funktion.
1998-12-12 00:00:01;1998-12-13 00:00:00;1998-12-12;-3.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1998-12-13 00:00:01;1998-12-14 00:00:00;1998-12-13;0.9;Y
1998-12-14 00:00:01;1998-12-15 00:00:00;1998-12-14;2.4;Y
1998-12-15 00:00:01;1998-12-16 00:00:00;1998-12-15;3.7;Y
1998-12-16 00:00:01;1998-12-17 00:00:00;1998-12-16;2.9;Y
1998-12-17 00:00:01;1998-12-18 00:00:00;1998-12-17;3.7;Y
1998-12-18 00:00:01;1998-12-19 00:00:00;1998-12-18;3.8;Y
1998-12-19 00:00:01;1998-12-20 00:00:00;1998-12-19;3.3;Y
1998-12-20 00:00:01;1998-12-21 00:00:00;1998-12-20;1.6;Y
1998-12-21 00:00:01;1998-12-22 00:00:00;1998-12-21;-3.8;Y
1998-12-22 00:00:01;1998-12-23 00:00:00;1998-12-22;-3.5;Y
1998-12-23 00:00:01;1998-12-24 00:00:00;1998-12-23;1.3;Y
1998-12-24 00:00:01;1998-12-25 00:00:00;1998-12-24;2.3;Y
1998-12-25 00:00:01;1998-12-26 00:00:00;1998-12-25;2.9;Y
1998-12-26 00:00:01;1998-12-27 00:00:00;1998-12-26;3.8;Y
1998-12-27 00:00:01;1998-12-28 00:00:00;1998-12-27;4.6;Y
1998-12-28 00:00:01;1998-12-29 00:00:00;1998-12-28;4.5;Y
1998-12-29 00:00:01;1998-12-30 00:00:00;1998-12-29;3.2;Y
1998-12-30 00:00:01;1998-12-31 00:00:00;1998-12-30;2.3;Y
1998-12-31 00:00:01;1999-01-01 00:00:00;1998-12-31;1.6;Y
1999-01-01 00:00:01;1999-01-02 00:00:00;1999-01-01;1.4;Y
1999-01-02 00:00:01;1999-01-03 00:00:00;1999-01-02;1.9;Y
1999-01-03 00:00:01;1999-01-04 00:00:00;1999-01-03;3.3;Y
1999-01-04 00:00:01;1999-01-05 00:00:00;1999-01-04;3.7;Y
1999-01-05 00:00:01;1999-01-06 00:00:00;1999-01-05;4.9;Y
1999-01-06 00:00:01;1999-01-07 00:00:00;1999-01-06;5.0;Y
1999-01-07 00:00:01;1999-01-08 00:00:00;1999-01-07;2.6;Y
1999-01-08 00:00:01;1999-01-09 00:00:00;1999-01-08;-0.1;Y
1999-01-09 00:00:01;1999-01-10 00:00:00;1999-01-09;-3.2;Y
1999-01-10 00:00:01;1999-01-11 00:00:00;1999-01-10;-2.6;Y
1999-01-11 00:00:01;1999-01-12 00:00:00;1999-01-11;-2.4;Y
1999-01-12 00:00:01;1999-01-13 00:00:00;1999-01-12;-2.4;Y
1999-01-13 00:00:01;1999-01-14 00:00:00;1999-01-13;-4.2;Y
1999-01-14 00:00:01;1999-01-15 00:00:00;1999-01-14;-0.7;Y
1999-01-15 00:00:01;1999-01-16 00:00:00;1999-01-15;1.5;Y
1999-01-16 00:00:01;1999-01-17 00:00:00;1999-01-16;3.7;Y
1999-01-17 00:00:01;1999-01-18 00:00:00;1999-01-17;3.0;Y
1999-01-18 00:00:01;1999-01-19 00:00:00;1999-01-18;2.8;Y
1999-01-19 00:00:01;1999-01-20 00:00:00;1999-01-19;3.2;Y
1999-01-20 00:00:01;1999-01-21 00:00:00;1999-01-20;4.7;Y
1999-01-21 00:00:01;1999-01-22 00:00:00;1999-01-21;4.1;Y
1999-01-22 00:00:01;1999-01-23 00:00:00;1999-01-22;3.6;Y
1999-01-23 00:00:01;1999-01-24 00:00:00;1999-01-23;3.1;Y
1999-01-24 00:00:01;1999-01-25 00:00:00;1999-01-24;3.7;Y
1999-01-25 00:00:01;1999-01-26 00:00:00;1999-01-25;4.0;Y
1999-01-26 00:00:01;1999-01-27 00:00:00;1999-01-26;3.3;Y
1999-01-27 00:00:01;1999-01-28 00:00:00;1999-01-27;2.3;Y
1999-01-28 00:00:01;1999-01-29 00:00:00;1999-01-28;-7.7;Y
1999-01-29 00:00:01;1999-01-30 00:00:00;1999-01-29;-7.5;Y
1999-01-30 00:00:01;1999-01-31 00:00:00;1999-01-30;-8.0;Y
1999-01-31 00:00:01;1999-02-01 00:00:00;1999-01-31;0.9;Y
1999-02-01 00:00:01;1999-02-02 00:00:00;1999-02-01;0.2;Y
1999-02-02 00:00:01;1999-02-03 00:00:00;1999-02-02;-0.5;Y
1999-02-03 00:00:01;1999-02-04 00:00:00;1999-02-03;3.1;Y
